filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\register\register.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\routes.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 45
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\environments\environment.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11, 3, 18
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\index.html, HTML, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\main.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\polyfills.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 55, 8, 64
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\styles.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 10, 58
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\test.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 4, 21
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\typings.d.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\tsconfig.app.json, JSON, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\tsconfig.json, JSON, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\tsconfig.spec.json, JSON, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\tslint.json, JSON, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp-workspace.code-workspace, JSON with Comments, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Controllers\AuthController.cs, C#, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 20, 94
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Controllers\MessagesController.cs, C#, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 39, 147
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Controllers\PhotosController.cs, C#, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 53, 217
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Controllers\UsersController.cs, C#, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 46, 189
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\Controllers\ValuesController.cs, C#, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 5, 7, 60
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\FaceDto.cs, C#, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\FaceForTemplateDto.cs, C#, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\MessageForCreationDto.cs, C#, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\MessageToReturnDto.cs, C#, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\PhotoForCreationDto.cs, C#, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\PhotoForReturnDto.cs, C#, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\DatingApp.API\DTOs\PhotosForDetailedDto.cs, C#, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
